DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT]; Azimuth[deg]; Elevation[deg]; Message
 8.65972; 183.400;  60.500; Reference positions.

 8.65981;  49.947; -37.150; Commanded position az=49.947, el=-37.150
 8.66002;  49.947; -37.650; Commanded position az=49.947, el=-37.650
 8.66023;  49.947; -38.150; Commanded position az=49.947, el=-38.150
 8.66044;  49.947; -38.650; Commanded position az=49.947, el=-38.650
 8.66065;  49.947; -39.150; Commanded position az=49.947, el=-39.150
 8.66086;  49.947; -39.650; Commanded position az=49.947, el=-39.650
 8.66107;  49.947; -40.150; Commanded position az=49.947, el=-40.150
 8.66128;  49.947; -40.650; Commanded position az=49.947, el=-40.650
 8.66149;  49.947; -41.150; Commanded position az=49.947, el=-41.150
 8.66170;  49.947; -41.650; Commanded position az=49.947, el=-41.650
 8.66191;  49.947; -42.150; Commanded position az=49.947, el=-42.150
 8.66212;  49.947; -42.650; Commanded position az=49.947, el=-42.650
 8.66233;  49.947; -43.150; Commanded position az=49.947, el=-43.150
 8.66254;  49.947; -43.650; Commanded position az=49.947, el=-43.650
 8.66275;  49.947; -44.150; Commanded position az=49.947, el=-44.150
 8.66296;  49.947; -44.650; Commanded position az=49.947, el=-44.650
 8.66317;  49.947; -45.150; Commanded position az=49.947, el=-45.150
 8.66338;  49.947; -45.650; Commanded position az=49.947, el=-45.650
 8.66359;  49.947; -46.150; Commanded position az=49.947, el=-46.150
 8.66380;  49.947; -46.650; Commanded position az=49.947, el=-46.650
 8.66401;  49.947; -47.150; Commanded position az=49.947, el=-47.150
 8.66422;  49.947; -47.650; Commanded position az=49.947, el=-47.650
 8.66442;  49.947; -48.150; Commanded position az=49.947, el=-48.150
 8.66463;  49.947; -48.650; Commanded position az=49.947, el=-48.650
 8.66484;  49.947; -49.150; Commanded position az=49.947, el=-49.150
 8.66505;  49.947; -49.650; Commanded position az=49.947, el=-49.650
 8.66526;  49.947; -50.150; Commanded position az=49.947, el=-50.150
 8.66547;  49.947; -50.650; Commanded position az=49.947, el=-50.650
 8.66568;  49.947; -51.150; Commanded position az=49.947, el=-51.150
 8.66589;  49.947; -51.650; Commanded position az=49.947, el=-51.650
 8.66610;  49.947; -52.150; Commanded position az=49.947, el=-52.150
 8.66631;  49.947; -52.650; Commanded position az=49.947, el=-52.650
 8.66652;  49.947; -53.150; Commanded position az=49.947, el=-53.150
 8.66673;  49.947; -53.650; Commanded position az=49.947, el=-53.650
 8.66694;  49.947; -54.150; Commanded position az=49.947, el=-54.150
 8.66715;  49.947; -54.650; Commanded position az=49.947, el=-54.650
 8.66736;  49.947; -55.150; Commanded position az=49.947, el=-55.150
 8.66757;  49.947; -55.650; Commanded position az=49.947, el=-55.650
 8.66777;  49.947; -56.150; Commanded position az=49.947, el=-56.150
 8.66798;  49.947; -56.650; Commanded position az=49.947, el=-56.650
 8.66819;  49.947; -57.150; Commanded position az=49.947, el=-57.150
 8.66840;  49.447; -57.150; Commanded position az=49.447, el=-57.150
 8.66861;  49.447; -56.650; Commanded position az=49.447, el=-56.650
 8.66882;  49.447; -56.150; Commanded position az=49.447, el=-56.150
 8.66903;  49.447; -55.650; Commanded position az=49.447, el=-55.650
 8.66924;  49.447; -55.150; Commanded position az=49.447, el=-55.150
 8.66945;  49.447; -54.650; Commanded position az=49.447, el=-54.650
 8.66966;  49.447; -54.150; Commanded position az=49.447, el=-54.150
 8.66987;  49.447; -53.650; Commanded position az=49.447, el=-53.650
 8.67008;  49.447; -53.150; Commanded position az=49.447, el=-53.150
 8.67029;  49.447; -52.650; Commanded position az=49.447, el=-52.650
 8.67050;  49.447; -52.150; Commanded position az=49.447, el=-52.150
 8.67071;  49.447; -51.650; Commanded position az=49.447, el=-51.650
 8.67092;  49.447; -51.150; Commanded position az=49.447, el=-51.150
 8.67112;  49.447; -50.650; Commanded position az=49.447, el=-50.650
 8.67133;  49.447; -50.150; Commanded position az=49.447, el=-50.150
 8.67154;  49.447; -49.650; Commanded position az=49.447, el=-49.650
 8.67175;  49.447; -49.150; Commanded position az=49.447, el=-49.150
 8.67196;  49.447; -48.650; Commanded position az=49.447, el=-48.650
 8.67217;  49.447; -48.150; Commanded position az=49.447, el=-48.150
 8.67238;  49.447; -47.650; Commanded position az=49.447, el=-47.650
 8.67259;  49.447; -47.150; Commanded position az=49.447, el=-47.150
 8.67280;  49.447; -46.650; Commanded position az=49.447, el=-46.650
 8.67301;  49.447; -46.150; Commanded position az=49.447, el=-46.150
 8.67322;  49.447; -45.650; Commanded position az=49.447, el=-45.650
 8.67343;  49.447; -45.150; Commanded position az=49.447, el=-45.150
 8.67364;  49.447; -44.650; Commanded position az=49.447, el=-44.650
 8.67385;  49.447; -44.150; Commanded position az=49.447, el=-44.150
 8.67406;  49.447; -43.650; Commanded position az=49.447, el=-43.650
 8.67427;  49.447; -43.150; Commanded position az=49.447, el=-43.150
 8.67447;  49.447; -42.650; Commanded position az=49.447, el=-42.650
 8.67468;  49.447; -42.150; Commanded position az=49.447, el=-42.150
 8.67489;  49.447; -41.650; Commanded position az=49.447, el=-41.650
 8.67510;  49.447; -41.150; Commanded position az=49.447, el=-41.150
 8.67531;  49.447; -40.650; Commanded position az=49.447, el=-40.650
 8.67552;  49.447; -40.150; Commanded position az=49.447, el=-40.150
 8.67573;  49.447; -39.650; Commanded position az=49.447, el=-39.650
 8.67594;  49.447; -39.150; Commanded position az=49.447, el=-39.150
 8.67615;  49.447; -38.650; Commanded position az=49.447, el=-38.650
 8.67636;  49.447; -38.150; Commanded position az=49.447, el=-38.150
 8.67657;  49.447; -37.650; Commanded position az=49.447, el=-37.650
 8.67678;  49.447; -37.150; Commanded position az=49.447, el=-37.150
 8.67699;  48.947; -37.150; Commanded position az=48.947, el=-37.150
 8.67720;  48.947; -37.650; Commanded position az=48.947, el=-37.650
 8.67741;  48.947; -38.150; Commanded position az=48.947, el=-38.150
 8.67762;  48.947; -38.650; Commanded position az=48.947, el=-38.650
 8.67783;  48.947; -39.150; Commanded position az=48.947, el=-39.150
 8.67803;  48.947; -39.650; Commanded position az=48.947, el=-39.650
 8.67824;  48.947; -40.150; Commanded position az=48.947, el=-40.150
 8.67845;  48.947; -40.650; Commanded position az=48.947, el=-40.650
 8.67866;  48.947; -41.150; Commanded position az=48.947, el=-41.150
 8.67887;  48.947; -41.650; Commanded position az=48.947, el=-41.650
 8.67908;  48.947; -42.150; Commanded position az=48.947, el=-42.150
 8.67929;  48.947; -42.650; Commanded position az=48.947, el=-42.650
 8.67950;  48.947; -43.150; Commanded position az=48.947, el=-43.150
 8.67971;  48.947; -43.650; Commanded position az=48.947, el=-43.650
 8.67992;  48.947; -44.150; Commanded position az=48.947, el=-44.150
 8.68013;  48.947; -44.650; Commanded position az=48.947, el=-44.650
 8.68034;  48.947; -45.150; Commanded position az=48.947, el=-45.150
 8.68055;  48.947; -45.650; Commanded position az=48.947, el=-45.650
 8.68076;  48.947; -46.150; Commanded position az=48.947, el=-46.150
 8.68097;  48.947; -46.650; Commanded position az=48.947, el=-46.650
 8.68118;  48.947; -47.150; Commanded position az=48.947, el=-47.150
 8.68139;  48.947; -47.650; Commanded position az=48.947, el=-47.650
 8.68160;  48.947; -48.150; Commanded position az=48.947, el=-48.150
 8.68181;  48.947; -48.650; Commanded position az=48.947, el=-48.650
 8.68202;  48.947; -49.150; Commanded position az=48.947, el=-49.150
 8.68223;  48.947; -49.650; Commanded position az=48.947, el=-49.650
 8.68243;  48.947; -50.150; Commanded position az=48.947, el=-50.150
 8.68264;  48.947; -50.650; Commanded position az=48.947, el=-50.650
 8.68285;  48.947; -51.150; Commanded position az=48.947, el=-51.150
 8.68306;  48.947; -51.650; Commanded position az=48.947, el=-51.650
 8.68327;  48.947; -52.150; Commanded position az=48.947, el=-52.150
 8.68348;  48.947; -52.650; Commanded position az=48.947, el=-52.650
 8.68369;  48.947; -53.150; Commanded position az=48.947, el=-53.150
 8.68390;  48.947; -53.650; Commanded position az=48.947, el=-53.650
 8.68411;  48.947; -54.150; Commanded position az=48.947, el=-54.150
 8.68432;  48.947; -54.650; Commanded position az=48.947, el=-54.650
 8.68453;  48.947; -55.150; Commanded position az=48.947, el=-55.150
 8.68474;  48.947; -55.650; Commanded position az=48.947, el=-55.650
 8.68495;  48.947; -56.150; Commanded position az=48.947, el=-56.150
 8.68516;  48.947; -56.650; Commanded position az=48.947, el=-56.650
 8.68536;  48.947; -57.150; Commanded position az=48.947, el=-57.150
 8.68557;  48.447; -57.150; Commanded position az=48.447, el=-57.150
 8.68578;  48.447; -56.650; Commanded position az=48.447, el=-56.650
 8.68599;  48.447; -56.150; Commanded position az=48.447, el=-56.150
 8.68620;  48.447; -55.650; Commanded position az=48.447, el=-55.650
 8.68641;  48.447; -55.150; Commanded position az=48.447, el=-55.150
 8.68662;  48.447; -54.650; Commanded position az=48.447, el=-54.650
 8.68683;  48.447; -54.150; Commanded position az=48.447, el=-54.150
 8.68704;  48.447; -53.650; Commanded position az=48.447, el=-53.650
 8.68725;  48.447; -53.150; Commanded position az=48.447, el=-53.150
 8.68746;  48.447; -52.650; Commanded position az=48.447, el=-52.650
 8.68767;  48.447; -52.150; Commanded position az=48.447, el=-52.150
 8.68788;  48.447; -51.650; Commanded position az=48.447, el=-51.650
 8.68809;  48.447; -51.150; Commanded position az=48.447, el=-51.150
 8.68830;  48.447; -50.650; Commanded position az=48.447, el=-50.650
 8.68851;  48.447; -50.150; Commanded position az=48.447, el=-50.150
 8.68871;  48.447; -49.650; Commanded position az=48.447, el=-49.650
 8.68892;  48.447; -49.150; Commanded position az=48.447, el=-49.150
 8.68913;  48.447; -48.650; Commanded position az=48.447, el=-48.650
 8.68934;  48.447; -48.150; Commanded position az=48.447, el=-48.150
 8.68955;  48.447; -47.650; Commanded position az=48.447, el=-47.650
 8.68976;  48.447; -47.150; Commanded position az=48.447, el=-47.150
 8.68997;  48.447; -46.650; Commanded position az=48.447, el=-46.650
 8.69018;  48.447; -46.150; Commanded position az=48.447, el=-46.150
 8.69039;  48.447; -45.650; Commanded position az=48.447, el=-45.650
 8.69060;  48.447; -45.150; Commanded position az=48.447, el=-45.150
 8.69081;  48.447; -44.650; Commanded position az=48.447, el=-44.650
 8.69102;  48.447; -44.150; Commanded position az=48.447, el=-44.150
 8.69123;  48.447; -43.650; Commanded position az=48.447, el=-43.650
 8.69144;  48.447; -43.150; Commanded position az=48.447, el=-43.150
 8.69165;  48.447; -42.650; Commanded position az=48.447, el=-42.650
 8.69186;  48.447; -42.150; Commanded position az=48.447, el=-42.150
 8.69206;  48.447; -41.650; Commanded position az=48.447, el=-41.650
 8.69227;  48.447; -41.150; Commanded position az=48.447, el=-41.150
 8.69248;  48.447; -40.650; Commanded position az=48.447, el=-40.650
 8.69269;  48.447; -40.150; Commanded position az=48.447, el=-40.150
 8.69290;  48.447; -39.650; Commanded position az=48.447, el=-39.650
 8.69311;  48.447; -39.150; Commanded position az=48.447, el=-39.150
 8.69332;  48.447; -38.650; Commanded position az=48.447, el=-38.650
 8.69353;  48.447; -38.150; Commanded position az=48.447, el=-38.150
 8.69374;  48.447; -37.650; Commanded position az=48.447, el=-37.650
 8.69395;  48.447; -37.150; Commanded position az=48.447, el=-37.150
 8.69416;  47.947; -37.150; Commanded position az=47.947, el=-37.150
 8.69437;  47.947; -37.650; Commanded position az=47.947, el=-37.650
 8.69458;  47.947; -38.150; Commanded position az=47.947, el=-38.150
 8.69479;  47.947; -38.650; Commanded position az=47.947, el=-38.650
 8.69500;  47.947; -39.150; Commanded position az=47.947, el=-39.150
 8.69520;  47.947; -39.650; Commanded position az=47.947, el=-39.650
 8.69541;  47.947; -40.150; Commanded position az=47.947, el=-40.150
 8.69562;  47.947; -40.650; Commanded position az=47.947, el=-40.650
 8.69583;  47.947; -41.150; Commanded position az=47.947, el=-41.150
 8.69604;  47.947; -41.650; Commanded position az=47.947, el=-41.650
 8.69625;  47.947; -42.150; Commanded position az=47.947, el=-42.150
 8.69646;  47.947; -42.650; Commanded position az=47.947, el=-42.650
 8.69667;  47.947; -43.150; Commanded position az=47.947, el=-43.150
 8.69688;  47.947; -43.650; Commanded position az=47.947, el=-43.650
 8.69709;  47.947; -44.150; Commanded position az=47.947, el=-44.150
 8.69730;  47.947; -44.650; Commanded position az=47.947, el=-44.650
 8.69751;  47.947; -45.150; Commanded position az=47.947, el=-45.150
 8.69772;  47.947; -45.650; Commanded position az=47.947, el=-45.650
 8.69793;  47.947; -46.150; Commanded position az=47.947, el=-46.150
 8.69814;  47.947; -46.650; Commanded position az=47.947, el=-46.650
 8.69835;  47.947; -47.150; Commanded position az=47.947, el=-47.150
 8.69856;  47.947; -47.650; Commanded position az=47.947, el=-47.650
 8.69877;  47.947; -48.150; Commanded position az=47.947, el=-48.150
 8.69898;  47.947; -48.650; Commanded position az=47.947, el=-48.650
 8.69918;  47.947; -49.150; Commanded position az=47.947, el=-49.150
 8.69939;  47.947; -49.650; Commanded position az=47.947, el=-49.650
 8.69960;  47.947; -50.150; Commanded position az=47.947, el=-50.150
 8.69981;  47.947; -50.650; Commanded position az=47.947, el=-50.650
 8.70002;  47.947; -51.150; Commanded position az=47.947, el=-51.150
 8.70023;  47.947; -51.650; Commanded position az=47.947, el=-51.650
 8.70044;  47.947; -52.150; Commanded position az=47.947, el=-52.150
 8.70065;  47.947; -52.650; Commanded position az=47.947, el=-52.650
 8.70086;  47.947; -53.150; Commanded position az=47.947, el=-53.150
 8.70107;  47.947; -53.650; Commanded position az=47.947, el=-53.650
 8.70128;  47.947; -54.150; Commanded position az=47.947, el=-54.150
 8.70149;  47.947; -54.650; Commanded position az=47.947, el=-54.650
 8.70170;  47.947; -55.150; Commanded position az=47.947, el=-55.150
 8.70191;  47.947; -55.650; Commanded position az=47.947, el=-55.650
 8.70212;  47.947; -56.150; Commanded position az=47.947, el=-56.150
 8.70233;  47.947; -56.650; Commanded position az=47.947, el=-56.650
 8.70254;  47.947; -57.150; Commanded position az=47.947, el=-57.150
 8.70274;  47.447; -57.150; Commanded position az=47.447, el=-57.150
 8.70295;  47.447; -56.650; Commanded position az=47.447, el=-56.650
 8.70316;  47.447; -56.150; Commanded position az=47.447, el=-56.150
 8.70337;  47.447; -55.650; Commanded position az=47.447, el=-55.650
 8.70358;  47.447; -55.150; Commanded position az=47.447, el=-55.150
 8.70379;  47.447; -54.650; Commanded position az=47.447, el=-54.650
 8.70400;  47.447; -54.150; Commanded position az=47.447, el=-54.150
 8.70421;  47.447; -53.650; Commanded position az=47.447, el=-53.650
 8.70442;  47.447; -53.150; Commanded position az=47.447, el=-53.150
 8.70463;  47.447; -52.650; Commanded position az=47.447, el=-52.650
 8.70484;  47.447; -52.150; Commanded position az=47.447, el=-52.150
 8.70505;  47.447; -51.650; Commanded position az=47.447, el=-51.650
 8.70526;  47.447; -51.150; Commanded position az=47.447, el=-51.150
 8.70547;  47.447; -50.650; Commanded position az=47.447, el=-50.650
 8.70568;  47.447; -50.150; Commanded position az=47.447, el=-50.150
 8.70589;  47.447; -49.650; Commanded position az=47.447, el=-49.650
 8.70610;  47.447; -49.150; Commanded position az=47.447, el=-49.150
 8.70630;  47.447; -48.650; Commanded position az=47.447, el=-48.650
 8.70651;  47.447; -48.150; Commanded position az=47.447, el=-48.150
 8.70672;  47.447; -47.650; Commanded position az=47.447, el=-47.650
 8.70693;  47.447; -47.150; Commanded position az=47.447, el=-47.150
 8.70714;  47.447; -46.650; Commanded position az=47.447, el=-46.650
 8.70735;  47.447; -46.150; Commanded position az=47.447, el=-46.150
 8.70756;  47.447; -45.650; Commanded position az=47.447, el=-45.650
 8.70777;  47.447; -45.150; Commanded position az=47.447, el=-45.150
 8.70798;  47.447; -44.650; Commanded position az=47.447, el=-44.650
 8.70819;  47.447; -44.150; Commanded position az=47.447, el=-44.150
 8.70840;  47.447; -43.650; Commanded position az=47.447, el=-43.650
 8.70861;  47.447; -43.150; Commanded position az=47.447, el=-43.150
 8.70882;  47.447; -42.650; Commanded position az=47.447, el=-42.650
 8.70903;  47.447; -42.150; Commanded position az=47.447, el=-42.150
 8.70924;  47.447; -41.650; Commanded position az=47.447, el=-41.650
 8.70945;  47.447; -41.150; Commanded position az=47.447, el=-41.150
 8.70966;  47.447; -40.650; Commanded position az=47.447, el=-40.650
 8.70987;  47.447; -40.150; Commanded position az=47.447, el=-40.150
 8.71007;  47.447; -39.650; Commanded position az=47.447, el=-39.650
 8.71028;  47.447; -39.150; Commanded position az=47.447, el=-39.150
 8.71049;  47.447; -38.650; Commanded position az=47.447, el=-38.650
 8.71070;  47.447; -38.150; Commanded position az=47.447, el=-38.150
 8.71091;  47.447; -37.650; Commanded position az=47.447, el=-37.650
 8.71112;  47.447; -37.150; Commanded position az=47.447, el=-37.150
 8.71133;  46.947; -37.150; Commanded position az=46.947, el=-37.150
 8.71154;  46.947; -37.650; Commanded position az=46.947, el=-37.650
 8.71175;  46.947; -38.150; Commanded position az=46.947, el=-38.150
 8.71196;  46.947; -38.650; Commanded position az=46.947, el=-38.650
 8.71217;  46.947; -39.150; Commanded position az=46.947, el=-39.150
 8.71238;  46.947; -39.650; Commanded position az=46.947, el=-39.650
 8.71259;  46.947; -40.150; Commanded position az=46.947, el=-40.150
 8.71280;  46.947; -40.650; Commanded position az=46.947, el=-40.650
 8.71301;  46.947; -41.150; Commanded position az=46.947, el=-41.150
 8.71322;  46.947; -41.650; Commanded position az=46.947, el=-41.650
 8.71343;  46.947; -42.150; Commanded position az=46.947, el=-42.150
 8.71363;  46.947; -42.650; Commanded position az=46.947, el=-42.650
 8.71384;  46.947; -43.150; Commanded position az=46.947, el=-43.150
 8.71405;  46.947; -43.650; Commanded position az=46.947, el=-43.650
 8.71426;  46.947; -44.150; Commanded position az=46.947, el=-44.150
 8.71447;  46.947; -44.650; Commanded position az=46.947, el=-44.650
 8.71468;  46.947; -45.150; Commanded position az=46.947, el=-45.150
 8.71489;  46.947; -45.650; Commanded position az=46.947, el=-45.650
 8.71510;  46.947; -46.150; Commanded position az=46.947, el=-46.150
 8.71531;  46.947; -46.650; Commanded position az=46.947, el=-46.650
 8.71552;  46.947; -47.150; Commanded position az=46.947, el=-47.150
 8.71573;  46.947; -47.650; Commanded position az=46.947, el=-47.650
 8.71594;  46.947; -48.150; Commanded position az=46.947, el=-48.150
 8.71615;  46.947; -48.650; Commanded position az=46.947, el=-48.650
 8.71636;  46.947; -49.150; Commanded position az=46.947, el=-49.150
 8.71657;  46.947; -49.650; Commanded position az=46.947, el=-49.650
 8.71678;  46.947; -50.150; Commanded position az=46.947, el=-50.150
 8.71699;  46.947; -50.650; Commanded position az=46.947, el=-50.650
 8.71720;  46.947; -51.150; Commanded position az=46.947, el=-51.150
 8.71740;  46.947; -51.650; Commanded position az=46.947, el=-51.650
 8.71761;  46.947; -52.150; Commanded position az=46.947, el=-52.150
 8.71782;  46.947; -52.650; Commanded position az=46.947, el=-52.650
 8.71803;  46.947; -53.150; Commanded position az=46.947, el=-53.150
 8.71824;  46.947; -53.650; Commanded position az=46.947, el=-53.650
 8.71845;  46.947; -54.150; Commanded position az=46.947, el=-54.150
 8.71866;  46.947; -54.650; Commanded position az=46.947, el=-54.650
 8.71887;  46.947; -55.150; Commanded position az=46.947, el=-55.150
 8.71908;  46.947; -55.650; Commanded position az=46.947, el=-55.650
 8.71929;  46.947; -56.150; Commanded position az=46.947, el=-56.150
 8.71950;  46.947; -56.650; Commanded position az=46.947, el=-56.650
 8.71971;  46.947; -57.150; Commanded position az=46.947, el=-57.150
 8.71992;  46.447; -57.150; Commanded position az=46.447, el=-57.150
 8.72013;  46.447; -56.650; Commanded position az=46.447, el=-56.650
 8.72034;  46.447; -56.150; Commanded position az=46.447, el=-56.150
 8.72055;  46.447; -55.650; Commanded position az=46.447, el=-55.650
 8.72076;  46.447; -55.150; Commanded position az=46.447, el=-55.150
 8.72096;  46.447; -54.650; Commanded position az=46.447, el=-54.650
 8.72117;  46.447; -54.150; Commanded position az=46.447, el=-54.150
 8.72138;  46.447; -53.650; Commanded position az=46.447, el=-53.650
 8.72159;  46.447; -53.150; Commanded position az=46.447, el=-53.150
 8.72180;  46.447; -52.650; Commanded position az=46.447, el=-52.650
 8.72201;  46.447; -52.150; Commanded position az=46.447, el=-52.150
 8.72222;  46.447; -51.650; Commanded position az=46.447, el=-51.650
 8.72243;  46.447; -51.150; Commanded position az=46.447, el=-51.150
 8.72264;  46.447; -50.650; Commanded position az=46.447, el=-50.650
 8.72285;  46.447; -50.150; Commanded position az=46.447, el=-50.150
 8.72306;  46.447; -49.650; Commanded position az=46.447, el=-49.650
 8.72327;  46.447; -49.150; Commanded position az=46.447, el=-49.150
 8.72348;  46.447; -48.650; Commanded position az=46.447, el=-48.650
 8.72369;  46.447; -48.150; Commanded position az=46.447, el=-48.150
