# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
12.93620; 199.758;  22.995; -13.458; -37.506;Commanded position az=-13.458, el=-37.506
12.93676; 199.758;  22.495; -13.458; -38.006;Commanded position az=-13.458, el=-38.006
12.93732; 199.758;  21.995; -13.458; -38.506;Commanded position az=-13.458, el=-38.506
12.93787; 199.758;  21.495; -13.458; -39.006;Commanded position az=-13.458, el=-39.006
12.93843; 199.758;  20.995; -13.458; -39.506;Commanded position az=-13.458, el=-39.506
12.93899; 199.758;  20.495; -13.458; -40.006;Commanded position az=-13.458, el=-40.006
12.93955; 199.758;  19.995; -13.458; -40.506;Commanded position az=-13.458, el=-40.506
12.94010; 199.758;  19.495; -13.458; -41.006;Commanded position az=-13.458, el=-41.006
12.94066; 199.758;  18.995; -13.458; -41.506;Commanded position az=-13.458, el=-41.506
12.94122; 199.758;  18.495; -13.458; -42.006;Commanded position az=-13.458, el=-42.006
12.94177; 199.758;  17.995; -13.458; -42.506;Commanded position az=-13.458, el=-42.506
12.94233; 199.758;  17.495; -13.458; -43.006;Commanded position az=-13.458, el=-43.006
12.94289; 199.758;  16.995; -13.458; -43.506;Commanded position az=-13.458, el=-43.506
12.94344; 199.758;  16.495; -13.458; -44.006;Commanded position az=-13.458, el=-44.006
12.94400; 199.758;  15.995; -13.458; -44.506;Commanded position az=-13.458, el=-44.506
12.94456; 199.758;  15.495; -13.458; -45.006;Commanded position az=-13.458, el=-45.006
12.94511; 199.758;  14.995; -13.458; -45.506;Commanded position az=-13.458, el=-45.506
12.94567; 199.758;  14.495; -13.458; -46.006;Commanded position az=-13.458, el=-46.006
12.94623; 199.758;  13.995; -13.458; -46.506;Commanded position az=-13.458, el=-46.506
12.94678; 199.758;  13.495; -13.458; -47.006;Commanded position az=-13.458, el=-47.006
12.94734; 199.758;  12.995; -13.458; -47.506;Commanded position az=-13.458, el=-47.506
12.94790; 200.258;  12.995; -13.958; -47.506;Commanded position az=-13.958, el=-47.506
12.94845; 200.258;  13.495; -13.958; -47.006;Commanded position az=-13.958, el=-47.006
12.94901; 200.258;  13.995; -13.958; -46.506;Commanded position az=-13.958, el=-46.506
12.94957; 200.258;  14.495; -13.958; -46.006;Commanded position az=-13.958, el=-46.006
12.95012; 200.258;  14.995; -13.958; -45.506;Commanded position az=-13.958, el=-45.506
12.95068; 200.258;  15.495; -13.958; -45.006;Commanded position az=-13.958, el=-45.006
12.95124; 200.258;  15.995; -13.958; -44.506;Commanded position az=-13.958, el=-44.506
12.95179; 200.258;  16.495; -13.958; -44.006;Commanded position az=-13.958, el=-44.006
12.95235; 200.258;  16.995; -13.958; -43.506;Commanded position az=-13.958, el=-43.506
12.95291; 200.258;  17.495; -13.958; -43.006;Commanded position az=-13.958, el=-43.006
12.95346; 200.258;  17.995; -13.958; -42.506;Commanded position az=-13.958, el=-42.506
12.95402; 200.258;  18.495; -13.958; -42.006;Commanded position az=-13.958, el=-42.006
12.95458; 200.258;  18.995; -13.958; -41.506;Commanded position az=-13.958, el=-41.506
12.95513; 200.258;  19.495; -13.958; -41.006;Commanded position az=-13.958, el=-41.006
12.95569; 200.258;  19.995; -13.958; -40.506;Commanded position az=-13.958, el=-40.506
12.95625; 200.258;  20.495; -13.958; -40.006;Commanded position az=-13.958, el=-40.006
12.95680; 200.258;  20.995; -13.958; -39.506;Commanded position az=-13.958, el=-39.506
12.95736; 200.258;  21.495; -13.958; -39.006;Commanded position az=-13.958, el=-39.006
12.95792; 200.258;  21.995; -13.958; -38.506;Commanded position az=-13.958, el=-38.506
12.95847; 200.258;  22.495; -13.958; -38.006;Commanded position az=-13.958, el=-38.006
12.95903; 200.258;  22.995; -13.958; -37.506;Commanded position az=-13.958, el=-37.506
12.95959; 200.758;  22.995; -14.458; -37.506;Commanded position az=-14.458, el=-37.506
12.96014; 200.758;  22.495; -14.458; -38.006;Commanded position az=-14.458, el=-38.006
12.96070; 200.758;  21.995; -14.458; -38.506;Commanded position az=-14.458, el=-38.506
12.96126; 200.758;  21.495; -14.458; -39.006;Commanded position az=-14.458, el=-39.006
12.96181; 200.758;  20.995; -14.458; -39.506;Commanded position az=-14.458, el=-39.506
12.96237; 200.758;  20.495; -14.458; -40.006;Commanded position az=-14.458, el=-40.006
12.96293; 200.758;  19.995; -14.458; -40.506;Commanded position az=-14.458, el=-40.506
12.96348; 200.758;  19.495; -14.458; -41.006;Commanded position az=-14.458, el=-41.006
12.96404; 200.758;  18.995; -14.458; -41.506;Commanded position az=-14.458, el=-41.506
12.96460; 200.758;  18.495; -14.458; -42.006;Commanded position az=-14.458, el=-42.006
12.96515; 200.758;  17.995; -14.458; -42.506;Commanded position az=-14.458, el=-42.506
12.96571; 200.758;  17.495; -14.458; -43.006;Commanded position az=-14.458, el=-43.006
12.96627; 200.758;  16.995; -14.458; -43.506;Commanded position az=-14.458, el=-43.506
12.96682; 200.758;  16.495; -14.458; -44.006;Commanded position az=-14.458, el=-44.006
12.96738; 200.758;  15.995; -14.458; -44.506;Commanded position az=-14.458, el=-44.506
12.96794; 200.758;  15.495; -14.458; -45.006;Commanded position az=-14.458, el=-45.006
