time,temp_degC,precip_mm,irrad_W_m2
2025-01-11 08:00:00,0.6,0.0,25.0
2025-01-11 08:10:00,1.2,0.0,47.0
2025-01-11 08:20:00,1.2,0.0,78.0
2025-01-11 08:30:00,1.5,0.0,72.0
2025-01-11 08:40:00,1.6,0.0,66.0
2025-01-11 08:50:00,1.8,0.0,73.0
2025-01-11 09:00:00,1.9,0.0,85.0
2025-01-11 09:10:00,1.6,0.0,88.0
2025-01-11 09:20:00,1.6,0.0,96.0
2025-01-11 09:30:00,1.8,0.0,90.0
2025-01-11 09:40:00,2.2,0.0,84.0
2025-01-11 09:50:00,2.1,0.0,114.0
2025-01-11 10:00:00,2.3,0.0,149.0
2025-01-11 10:10:00,2.4,0.0,219.0
2025-01-11 10:20:00,4.1,0.0,309.0
2025-01-11 10:30:00,3.7,0.0,356.0
2025-01-11 10:40:00,3.8,0.0,318.0
2025-01-11 10:50:00,3.3,0.0,320.0
2025-01-11 11:00:00,4.3,0.0,378.0
2025-01-11 11:10:00,3.7,0.0,383.0
2025-01-11 11:20:00,5.0,0.0,354.0
2025-01-11 11:30:00,4.6,0.0,370.0
2025-01-11 11:40:00,4.6,0.0,401.0
2025-01-11 11:50:00,4.4,0.0,401.0
2025-01-11 12:00:00,4.2,0.0,400.0
2025-01-11 12:10:00,4.3,0.0,394.0
2025-01-11 12:20:00,5.3,0.0,386.0
2025-01-11 12:30:00,5.1,0.0,336.0
2025-01-11 12:40:00,4.7,0.0,376.0
2025-01-11 12:50:00,5.6,0.0,365.0
2025-01-11 13:00:00,5.3,0.0,337.0
2025-01-11 13:10:00,4.9,0.0,335.0
2025-01-11 13:20:00,5.9,0.0,317.0
2025-01-11 13:30:00,6.3,0.0,304.0
2025-01-11 13:40:00,6.5,0.0,287.0
2025-01-11 13:50:00,6.1,0.0,269.0
2025-01-11 14:00:00,6.2,0.0,247.0
2025-01-11 14:10:00,6.1,0.0,226.0
2025-01-11 14:20:00,6.1,0.0,205.0
2025-01-11 14:30:00,5.7,0.0,183.0
2025-01-11 14:40:00,5.1,0.0,161.0
2025-01-11 14:50:00,5.0,0.0,109.0
2025-01-11 15:00:00,4.9,0.0,57.0
2025-01-11 15:10:00,4.7,0.0,41.0
2025-01-11 15:20:00,4.2,0.0,24.0
2025-01-11 15:30:00,4.2,0.0,16.0
2025-01-11 15:40:00,4.4,0.0,12.0
2025-01-11 15:50:00,4.0,0.0,8.0
