start_scan_UTC,end_scan_UTC,amplitude_fit,delta_azi_fit,delta_ele_fit,sigma_azi_fit,sigma_ele_fit,aziref,eleref,quality_check
2025-01-31 08:59:00,2025-01-31 09:00:00,,,,,,181.2,60.5,0
2025-01-31 09:59:00,2025-01-31 10:00:00,,,,,,181.2,60.5,0
2025-01-31 10:59:00,2025-01-31 11:00:00,,,,,,181.2,60.5,0
2025-01-31 11:59:00,2025-01-31 12:00:00,,,,,,181.2,60.5,0
2025-01-31 12:59:00,2025-01-31 13:00:00,,,,,,181.2,60.5,0
2025-01-31 13:59:00,2025-01-31 14:00:00,,,,,,181.2,60.5,0
2025-03-19 08:59:00,2025-03-19 09:00:00,150.93885911351487,0.1178649607664638,0.1454908708269521,1.2760170556484207,1.1810829150868751,181.8,60.5,1
2025-03-19 10:59:00,2025-03-19 11:00:00,149.9142285237725,-0.3288988283431682,0.1923211921339774,1.2536514021153673,1.211117215900264,181.8,60.5,1
2025-03-19 12:59:00,2025-03-19 13:00:00,149.79481720853653,-0.1660306779089489,0.11733398113343,1.3718897725747126,1.1185743554212129,181.8,60.5,1
2025-03-20 08:59:00,2025-03-20 09:00:00,150.1148397319174,0.0194434134749725,0.099430207656822,1.3143379674055178,1.21262632493391,181.8,60.5,1
2025-03-20 10:59:00,2025-03-20 11:00:00,150.1333887537701,-0.4624709756631868,-0.0253002634491158,1.3364556695636456,1.1426727806879742,181.8,60.5,1
2025-03-20 12:59:00,2025-03-20 13:00:00,149.3466842485932,-0.1771139241830541,-0.1267212131890609,1.3659498342069043,1.20951798780002,181.8,60.5,1
2025-03-21 08:59:00,2025-03-21 09:00:00,,,,,,181.8,60.5,0
2025-03-21 10:59:00,2025-03-21 11:00:00,,,,,,181.8,60.5,0
2025-03-21 12:59:00,2025-03-21 13:00:00,,,,,,181.8,60.5,0
2025-03-22 08:59:00,2025-03-22 09:00:00,151.54257950694452,0.0101520827330304,-0.0439951525498328,1.7135204351640632,1.4002393130460915,181.8,60.5,1
2025-03-22 10:59:00,2025-03-22 11:00:00,151.69450474782155,-0.6253936183365215,-0.0477501286572953,1.6096252922750245,1.3012152300907902,181.8,60.5,1
2025-03-22 12:59:00,2025-03-22 13:00:00,151.47917175760762,-0.1374151178367613,-0.1849817033968878,1.5867793976447275,1.269544192304283,181.8,60.5,1
2025-03-23 08:59:00,2025-03-23 09:00:00,151.17198155161958,-0.0375743717581388,-0.0356211988700694,1.568418917222786,1.3501292679395227,181.8,60.5,1
2025-03-23 10:59:00,2025-03-23 11:00:00,151.9585560877523,-0.6070072158487472,-0.0615658573121074,1.4646500837147536,1.1782671563034564,181.8,60.5,1
2025-03-23 12:59:00,2025-03-23 13:00:00,151.34982715892988,-0.3038220135979166,-0.1589343664254159,1.4906541144790066,1.1532469492558408,181.8,60.5,1
2025-03-24 08:59:00,2025-03-24 09:00:00,150.9528582284818,-0.055922098020533,-0.0222270994672878,1.3931022319499933,1.2417838122072522,181.8,60.5,1
2025-03-24 10:59:00,2025-03-24 11:00:00,151.25219333454876,-0.5649308736764305,-0.0535482066578978,1.3239080033831867,1.1683611339116855,181.8,60.5,1
2025-03-24 12:59:00,2025-03-24 13:00:00,151.0784498499042,-0.3313671436238094,-0.1359105626235174,1.4723901664731809,1.1767978855155805,181.8,60.5,1
2025-03-25 08:59:00,2025-03-25 09:00:00,149.21143749415552,0.000352974140205,-0.0182557269179125,1.3409787436983478,1.2695317390248455,181.8,60.5,1
2025-03-25 10:59:00,2025-03-25 11:00:00,148.31464995069052,-0.5793131220736932,0.0072637953904456,1.4286062467323035,1.1754139706094309,181.8,60.5,1
