DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 165.700,  13.800, Reference positions.

 0.00028, 201.955,  -8.000, New tracking position
 0.01694, 202.191,  -8.000, Hot reference on ground (To)
 0.01694, 202.191,  -8.000, New tracking position
 0.03361, 202.427,  -8.000, Hot reference on ground (To)
 0.03361, 202.427,  -8.000, New tracking position
 0.05028, 202.662,  30.055, Off source in elevation
 0.05028, 202.662,  30.055, New tracking position
 0.06694, 202.897,  29.995, Off source in elevation
 0.06694, 202.897,  29.995, New tracking position
 0.08361, 203.132,  29.934, Off source in elevation
 0.08361, 203.132,  29.934, New tracking position
 0.10028, 203.366,  19.873, On source in elevation
 0.10028, 203.366,  19.873, New tracking position
 0.11694, 203.601,  19.812, On source in elevation
 0.11694, 203.601,  19.812, New tracking position
 0.13361, 203.835,  19.750, On source in elevation
 0.13361, 203.835,  19.750, New tracking position
 0.15028, 204.068,  29.687, Off source in elevation
 0.15028, 204.068,  29.687, New tracking position
 0.16694, 204.302,  29.623, Off source in elevation
 0.16694, 204.302,  29.623, New tracking position
 0.18361, 204.535,  29.559, Off source in elevation
 0.18361, 204.535,  29.559, New tracking position
 0.20028, 204.768,  19.495, On source in elevation
 0.20028, 204.768,  19.495, New tracking position
 0.21694, 205.000,  19.429, On source in elevation
 0.21694, 205.000,  19.429, New tracking position
 0.23361, 205.233,  19.363, On source in elevation
 0.23361, 205.233,  19.363, New tracking position
 0.25028, 205.465,  -8.000, Hot reference on ground (To)
 0.25028, 205.465,  -8.000, New tracking position
 0.26694, 205.696,  -8.000, Hot reference on ground (To)
 0.26694, 205.696,  -8.000, New tracking position
 0.28361, 205.928,  -8.000, Hot reference on ground (To)
 0.28361, 205.928,  -8.000, New tracking position
 0.30028, 206.159,  29.094, Off source in elevation
 0.30028, 206.159,  29.094, New tracking position
 0.31694, 206.390,  29.025, Off source in elevation
 0.31694, 206.390,  29.025, New tracking position
 0.33361, 206.620,  28.956, Off source in elevation
 0.33361, 206.620,  28.956, New tracking position
 0.35028, 206.851,  18.886, On source in elevation
 0.35028, 206.851,  18.886, New tracking position
 0.36694, 207.081,  18.815, On source in elevation
 0.36694, 207.081,  18.815, New tracking position
 0.38361, 207.310,  18.744, On source in elevation
 0.38361, 207.310,  18.744, New tracking position
 0.40028, 207.540,  28.672, Off source in elevation
 0.40028, 207.540,  28.672, New tracking position
 0.41694, 207.769,  28.600, Off source in elevation
 0.41694, 207.769,  28.600, New tracking position
 0.43361, 207.997,  28.527, Off source in elevation
 0.43361, 207.997,  28.527, New tracking position
 0.45028, 208.226,  18.453, On source in elevation
 0.45028, 208.226,  18.453, New tracking position
 0.46694, 208.454,  18.379, On source in elevation
 0.46694, 208.454,  18.379, New tracking position
 0.48361, 208.682,  18.304, On source in elevation
 0.48361, 208.682,  18.304, New tracking position
 0.50028, 208.909,  -8.000, Hot reference on ground (To)
 0.50028, 208.909,  -8.000, New tracking position
 0.51694, 209.137,  -8.000, Hot reference on ground (To)
 0.51694, 209.137,  -8.000, New tracking position
 0.53361, 209.363,  -8.000, Hot reference on ground (To)
 0.53361, 209.363,  -8.000, New tracking position
 0.55028, 209.590,  28.000, Off source in elevation
 0.55028, 209.590,  28.000, New tracking position
 0.56694, 209.816,  27.922, Off source in elevation
 0.56694, 209.816,  27.922, New tracking position
 0.58361, 210.042,  27.844, Off source in elevation
 0.58361, 210.042,  27.844, New tracking position
 0.60028, 210.268,  17.766, On source in elevation
 0.60028, 210.268,  17.766, New tracking position
 0.61694, 210.493,  17.686, On source in elevation
 0.61694, 210.493,  17.686, New tracking position
 0.63361, 210.718,  17.607, On source in elevation
 0.63361, 210.718,  17.607, New tracking position
 0.65028, 210.943,  27.526, Off source in elevation
 0.65028, 210.943,  27.526, New tracking position
 0.66694, 211.167,  27.446, Off source in elevation
 0.66694, 211.167,  27.446, New tracking position
 0.68361, 211.392,  27.364, Off source in elevation
 0.68361, 211.392,  27.364, New tracking position
 0.70028, 211.615,  17.282, On source in elevation
 0.70028, 211.615,  17.282, New tracking position
 0.71694, 211.839,  17.200, On source in elevation
 0.71694, 211.839,  17.200, New tracking position
 0.73361, 212.062,  17.117, On source in elevation
 0.73361, 212.062,  17.117, New tracking position
 0.75028, 212.285,  -8.000, Hot reference on ground (To)
 0.75028, 212.285,  -8.000, New tracking position
 0.76694, 212.507,  -8.000, Hot reference on ground (To)
 0.76694, 212.507,  -8.000, New tracking position
 0.78361, 212.729,  -8.000, Hot reference on ground (To)
 0.78361, 212.729,  -8.000, New tracking position
 0.80028, 212.951,  26.779, Off source in elevation
 0.80028, 212.951,  26.779, New tracking position
 0.81694, 213.173,  26.694, Off source in elevation
 0.81694, 213.173,  26.694, New tracking position
 0.83361, 213.394,  26.607, Off source in elevation
 0.83361, 213.394,  26.607, New tracking position
 0.85028, 213.615,  16.521, On source in elevation
 0.85028, 213.615,  16.521, New tracking position
 0.86694, 213.835,  16.433, On source in elevation
 0.86694, 213.835,  16.433, New tracking position
 0.88361, 214.055,  16.346, On source in elevation
 0.88361, 214.055,  16.346, New tracking position
 0.90028, 214.275,  26.257, Off source in elevation
 0.90028, 214.275,  26.257, New tracking position
 0.91694, 214.495,  26.168, Off source in elevation
 0.91694, 214.495,  26.168, New tracking position
 0.93361, 214.714,  26.079, Off source in elevation
 0.93361, 214.714,  26.079, New tracking position
 0.95028, 214.933,  15.989, On source in elevation
 0.95028, 214.933,  15.989, New tracking position
 0.96694, 215.151,  15.899, On source in elevation
 0.96694, 215.151,  15.899, New tracking position
 0.98361, 215.369,  15.808, On source in elevation
 0.98361, 215.369,  15.808, New tracking position
 1.00028, 215.587,  -8.000, Hot reference on ground (To)
 1.00028, 215.587,  -8.000, New tracking position
 1.01694, 215.805,  -8.000, Hot reference on ground (To)
 1.01694, 215.805,  -8.000, New tracking position
 1.03361, 216.022,  -8.000, Hot reference on ground (To)
 1.03361, 216.022,  -8.000, New tracking position
 1.05028, 216.239,  25.439, Off source in elevation
 1.05028, 216.239,  25.439, New tracking position
 1.06694, 216.456,  25.346, Off source in elevation
 1.06694, 216.456,  25.346, New tracking position
 1.08361, 216.672,  25.252, Off source in elevation
 1.08361, 216.672,  25.252, New tracking position
 1.10028, 216.888,  15.158, On source in elevation
 1.10028, 216.888,  15.158, New tracking position
 1.11694, 217.103,  15.063, On source in elevation
 1.11694, 217.103,  15.063, New tracking position
 1.13361, 217.318,  14.967, On source in elevation
 1.13361, 217.318,  14.967, New tracking position
 1.15028, 217.533,  24.871, Off source in elevation
 1.15028, 217.533,  24.871, New tracking position
 1.16694, 217.748,  24.775, Off source in elevation
 1.16694, 217.748,  24.775, New tracking position
 1.18361, 217.962,  24.678, Off source in elevation
 1.18361, 217.962,  24.678, New tracking position
 1.20028, 218.176,  14.581, On source in elevation
 1.20028, 218.176,  14.581, New tracking position
 1.21694, 218.390,  14.483, On source in elevation
 1.21694, 218.390,  14.483, New tracking position
 1.23361, 218.603,  14.385, On source in elevation
 1.23361, 218.603,  14.385, New tracking position
 1.25028, 218.816,  -8.000, Hot reference on ground (To)
 1.25028, 218.816,  -8.000, New tracking position
 1.26694, 219.028,  -8.000, Hot reference on ground (To)
 1.26694, 219.028,  -8.000, New tracking position
 1.28361, 219.241,  -8.000, Hot reference on ground (To)
 1.28361, 219.241,  -8.000, New tracking position
 1.30028, 219.453,  23.987, Off source in elevation
 1.30028, 219.453,  23.987, New tracking position
 1.31694, 219.664,  23.886, Off source in elevation
 1.31694, 219.664,  23.886, New tracking position
 1.33444, 219.886,  23.780, Off source in elevation
 1.33444, 219.886,  23.780, New tracking position
 1.35028, 220.086,  13.684, On source in elevation
 1.35028, 220.086,  13.684, New tracking position
