Callisto gain sweep
Author: Christian Monstein, HB9SCT
Version: 2023-05-18

pwm[digit], Voltage[mV]
010,988
015,1000
020,1005
025,1010
030,1035
035,1052
040,1057
045,1059
050,1086
055,1105
060,1118
065,1137
070,1162
075,1174
080,1181
085,1213
090,1225
095,1237
100,1269
105,1284
110,1308
115,1320
120,1342
125,1352
130,1369
135,1394
140,1403
145,1425
150,1423
155,1442
160,1450
165,1459
170,1479
175,1501
180,1501
185,1513
190,1520
195,1518
200,1545
205,1545
210,1552
215,1560
220,1564
225,1564
230,1572
235,1591
240,1591
245,1594
250,1601
