Callisto gain sweep
Author: Christian Monstein, HB9SCT
Version: 2023-05-18

pwm[digit], Voltage[mV]
010,1071
015,1086
020,1096
025,1105
030,1123
035,1140
040,1147
045,1176
050,1191
055,1215
060,1228
065,1254
070,1281
075,1286
080,1315
085,1320
090,1359
095,1367
100,1394
105,1411
110,1420
115,1450
120,1455
125,1489
130,1503
135,1513
140,1533
145,1547
150,1562
155,1572
160,1582
165,1608
170,1606
175,1616
180,1625
185,1640
190,1635
195,1657
200,1655
205,1674
210,1669
215,1687
220,1689
225,1684
230,1704
235,1711
240,1711
245,1718
250,1726
