time_UT,azimuth_deg,elevation_deg
21:15:00,160.0,31.0
21:16:00,161.0,31.0
21:17:00,162.0,31.0
21:18:00,163.0,31.0
21:19:00,164.0,31.0
21:20:00,165.0,31.0
21:21:00,166.0,31.0
21:22:00,167.0,31.0
21:23:00,168.0,31.0
21:24:00,169.0,31.0
21:25:00,170.0,31.0
21:26:00,170.0,32.0
21:27:00,169.0,32.0
21:28:00,168.0,32.0
21:29:00,167.0,32.0
21:30:00,166.0,32.0
21:31:00,165.0,32.0
21:32:00,164.0,32.0
21:33:00,163.0,32.0
21:34:00,162.0,32.0
21:35:00,161.0,32.0
21:36:00,160.0,32.0
21:37:00,160.0,33.0
21:38:00,161.0,33.0
21:39:00,162.0,33.0
21:40:00,163.0,33.0
21:41:00,164.0,33.0
21:42:00,165.0,33.0
21:43:00,166.0,33.0
21:44:00,167.0,33.0
21:45:00,168.0,33.0
21:46:00,169.0,33.0
21:47:00,170.0,33.0
21:48:00,170.0,34.0
21:49:00,169.0,34.0
21:50:00,168.0,34.0
21:51:00,167.0,34.0
21:52:00,166.0,34.0
21:53:00,165.0,34.0
21:54:00,164.0,34.0
21:55:00,163.0,34.0
21:56:00,162.0,34.0
21:57:00,161.0,34.0
21:58:00,160.0,34.0
21:59:00,160.0,35.0
22:00:00,161.0,35.0
22:01:00,162.0,35.0
22:02:00,163.0,35.0
22:03:00,164.0,35.0
22:04:00,165.0,35.0
22:05:00,166.0,35.0
22:06:00,167.0,35.0
22:07:00,168.0,35.0
22:08:00,169.0,35.0
22:09:00,170.0,35.0
22:10:00,170.0,36.0
22:11:00,169.0,36.0
22:12:00,168.0,36.0
22:13:00,167.0,36.0
22:14:00,166.0,36.0
22:15:00,165.0,36.0
22:16:00,164.0,36.0
22:17:00,163.0,36.0
22:18:00,162.0,36.0
22:19:00,161.0,36.0
22:20:00,160.0,36.0
22:21:00,160.0,37.0
22:22:00,161.0,37.0
22:23:00,162.0,37.0
22:24:00,163.0,37.0
22:25:00,164.0,37.0
22:26:00,165.0,37.0
22:27:00,166.0,37.0
22:28:00,167.0,37.0
22:29:00,168.0,37.0
22:30:00,169.0,37.0
22:31:00,170.0,37.0
22:32:00,170.0,38.0
22:33:00,169.0,38.0
22:34:00,168.0,38.0
22:35:00,167.0,38.0
22:36:00,166.0,38.0
22:37:00,165.0,38.0
22:38:00,164.0,38.0
22:39:00,163.0,38.0
22:40:00,162.0,38.0
22:41:00,161.0,38.0
22:42:00,160.0,38.0
22:43:00,160.0,39.0
22:44:00,161.0,39.0
22:45:00,162.0,39.0
22:46:00,163.0,39.0
22:47:00,164.0,39.0
22:48:00,165.0,39.0
22:49:00,166.0,39.0
22:50:00,167.0,39.0
22:51:00,168.0,39.0
22:52:00,169.0,39.0
22:53:00,170.0,39.0
22:54:00,170.0,40.0
22:55:00,169.0,40.0
22:56:00,168.0,40.0
22:57:00,167.0,40.0
22:58:00,166.0,40.0
22:59:00,165.0,40.0
23:00:00,164.0,40.0
23:01:00,163.0,40.0
23:02:00,162.0,40.0
23:03:00,161.0,40.0
23:04:00,160.0,40.0
23:05:00,160.0,41.0
23:06:00,161.0,41.0
23:07:00,162.0,41.0
23:08:00,163.0,41.0
23:09:00,164.0,41.0
23:10:00,165.0,41.0
23:11:00,166.0,41.0
23:12:00,167.0,41.0
23:13:00,168.0,41.0
23:14:00,169.0,41.0
23:15:00,170.0,41.0
