time_UT,azimuth_deg,elevation_deg
21:00:00,105.0,-5.0
21:01:00,110.0,-5.0
21:02:00,115.0,-5.0
21:03:00,120.0,-5.0
21:04:00,125.0,-5.0
21:05:00,130.0,-5.0
21:06:00,135.0,-5.0
21:07:00,140.0,-5.0
21:08:00,145.0,-5.0
21:09:00,150.0,-5.0
21:10:00,155.0,-5.0
21:11:00,160.0,-5.0
21:12:00,165.0,-5.0
21:13:00,170.0,-5.0
21:14:00,175.0,-5.0
21:15:00,180.0,-5.0
21:16:00,185.0,-5.0
21:17:00,190.0,-5.0
21:18:00,195.0,-5.0
21:19:00,200.0,-5.0
21:20:00,205.0,-5.0
21:21:00,210.0,-5.0
21:22:00,215.0,-5.0
21:23:00,220.0,-5.0
21:24:00,225.0,-5.0
21:25:00,230.0,-5.0
21:26:00,235.0,-5.0
21:27:00,240.0,-5.0
21:28:00,245.0,-5.0
21:29:00,250.0,-5.0
21:30:00,255.0,-5.0
21:31:00,255.0,0.0
21:32:00,250.0,0.0
21:33:00,245.0,0.0
21:34:00,240.0,0.0
21:35:00,235.0,0.0
21:36:00,230.0,0.0
21:37:00,225.0,0.0
21:38:00,220.0,0.0
21:39:00,215.0,0.0
21:40:00,210.0,0.0
21:41:00,205.0,0.0
21:42:00,200.0,0.0
21:43:00,195.0,0.0
21:44:00,190.0,0.0
21:45:00,185.0,0.0
21:46:00,180.0,0.0
21:47:00,175.0,0.0
21:48:00,170.0,0.0
21:49:00,165.0,0.0
21:50:00,160.0,0.0
21:51:00,155.0,0.0
21:52:00,150.0,0.0
21:53:00,145.0,0.0
21:54:00,140.0,0.0
21:55:00,135.0,0.0
21:56:00,130.0,0.0
21:57:00,125.0,0.0
21:58:00,120.0,0.0
21:59:00,115.0,0.0
22:00:00,110.0,0.0
22:01:00,105.0,0.0
22:02:00,105.0,5.0
22:03:00,110.0,5.0
22:04:00,115.0,5.0
22:05:00,120.0,5.0
22:06:00,125.0,5.0
22:07:00,130.0,5.0
22:08:00,135.0,5.0
22:09:00,140.0,5.0
22:10:00,145.0,5.0
22:11:00,150.0,5.0
22:12:00,155.0,5.0
22:13:00,160.0,5.0
22:14:00,165.0,5.0
22:15:00,170.0,5.0
22:16:00,175.0,5.0
22:17:00,180.0,5.0
22:18:00,185.0,5.0
22:19:00,190.0,5.0
22:20:00,195.0,5.0
22:21:00,200.0,5.0
22:22:00,205.0,5.0
22:23:00,210.0,5.0
22:24:00,215.0,5.0
22:25:00,220.0,5.0
22:26:00,225.0,5.0
22:27:00,230.0,5.0
22:28:00,235.0,5.0
22:29:00,240.0,5.0
22:30:00,245.0,5.0
22:31:00,250.0,5.0
22:32:00,255.0,5.0
22:33:00,255.0,10.0
22:34:00,250.0,10.0
22:35:00,245.0,10.0
22:36:00,240.0,10.0
22:37:00,235.0,10.0
22:38:00,230.0,10.0
22:39:00,225.0,10.0
22:40:00,220.0,10.0
22:41:00,215.0,10.0
22:42:00,210.0,10.0
22:43:00,205.0,10.0
22:44:00,200.0,10.0
22:45:00,195.0,10.0
22:46:00,190.0,10.0
22:47:00,185.0,10.0
22:48:00,180.0,10.0
22:49:00,175.0,10.0
22:50:00,170.0,10.0
22:51:00,165.0,10.0
22:52:00,160.0,10.0
22:53:00,155.0,10.0
22:54:00,150.0,10.0
22:55:00,145.0,10.0
22:56:00,140.0,10.0
22:57:00,135.0,10.0
22:58:00,130.0,10.0
22:59:00,125.0,10.0
23:00:00,120.0,10.0
23:01:00,115.0,10.0
23:02:00,110.0,10.0
23:03:00,105.0,10.0
23:04:00,105.0,15.0
23:05:00,110.0,15.0
23:06:00,115.0,15.0
23:07:00,120.0,15.0
23:08:00,125.0,15.0
23:09:00,130.0,15.0
23:10:00,135.0,15.0
23:11:00,140.0,15.0
23:12:00,145.0,15.0
23:13:00,150.0,15.0
23:14:00,155.0,15.0
23:15:00,160.0,15.0
23:16:00,165.0,15.0
23:17:00,170.0,15.0
23:18:00,175.0,15.0
23:19:00,180.0,15.0
23:20:00,185.0,15.0
23:21:00,190.0,15.0
23:22:00,195.0,15.0
23:23:00,200.0,15.0
23:24:00,205.0,15.0
23:25:00,210.0,15.0
23:26:00,215.0,15.0
23:27:00,220.0,15.0
23:28:00,225.0,15.0
23:29:00,230.0,15.0
23:30:00,235.0,15.0
23:31:00,240.0,15.0
23:32:00,245.0,15.0
23:33:00,250.0,15.0
