Comparison Small RT vs Learmonth-interpolation			
#---------------------------------------------			
#Date	        SRT	sigma	Lear
01.05.2023	345.8	0	1
16.05.2023	342.6	0	1
12.06.2023	350.3	0	1
07.16.2023	417.2	0	387.2
17.07.2023	443.7	0	393.8
21.07.2023	424.0	0	391.3
24.07.2023	421.5	0	419.0
25.07.2023	419.0	0	401.1
26.07.2023	424.8	0	408.3
27.07.2023	423.0	0	414.5
02.08.2023	414.6	19.3	411.6
03.08.2023	426.5	18.1	405.3
04.08.2023	384.9	31.2	332.0
05.08.2023	391.3	75.3	400.9
07.08.2023	388.4	26.1	411.6
08.08.2023	342.1	88.5	420.0
10.08.2023	380.1	34.9	401.9
11.08.2023	393.4	999	400.9
12.08.2023	383.8	36.3	381.9
13.08.2023	385.3	16.3	392.2
14.08.2023	384.7	16.2	385.0
15.08.2023	386.1	19.5	396.6
16.08.2023	377.2	20.6	400.6
17.08.2023	405.5	15.9	391.5
18.08.2023	388.7	19.1	381.6
19.08.2023	385.2	11.4	375.3
20.08.2023	386.0	20.3	376.8
22.08.2023	392.5	25.6	403.2
23.08.2023	404.5	16.9	405.2
24.08.2023	401.6	20.0	379.8
25.08.2023	396.1	12.9	393.1
26.08.2023	405.8	13.7	377.6
27.08.2023	385.5	14.0	383.1
28.08.2023	387.7	10.9	303.1
29.08.2023	384.2	14.3	376.8
30.08.2023	397.7	19.2	347.8
31.08.2023	386.1	13.2	344.0
01.09.2023	380.8	14.1	365.1
02.09.2023	393.5	14.9	352.9
03.09.2023	418.4	24.7	327.4
04.09.2023	398.3	14.6	343.4
05.09.2023	374.6	28.1	352.9
06.09.2023	405.1	13.8	362.2
07.09.2023	402.2	14.8	348.7
08.09.2023	408.2	13.8	356.4
09.09.2023	410.5	15.5	358.7
10.09.2023	409.0	12.8	355.1
11.09.2023	412.3	11.9	353.8
12.09.2023	425.6	6.4	360.8
13.09.2023	401.2	11.3	345.1
