DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
10.37667, 180.000,  45.000, Reference positions.

10.43944, 168.706,  23.435, New tracking position
10.45333, 168.917,  23.463, New tracking position
10.47639, 169.269,  23.508, New tracking position
10.48861, 169.455,  23.531, New tracking position
10.50417, 169.693,  23.560, New tracking position
10.51667, 169.884,  23.583, New tracking position
10.53750, 170.202,  23.620, New tracking position
10.54722, 170.346,  23.637, New tracking position
10.55167, 170.419,  23.645, New tracking position
10.56000, 170.546,  23.659, New tracking position
10.56778, 170.665,  23.672, New tracking position
10.57778, 170.818,  23.689, New tracking position
10.58389, 170.912,  23.699, New tracking position
10.61667, 171.414,  23.751, New tracking position
10.63333, 171.670,  23.776, New tracking position
10.65000, 171.925,  23.800, New tracking position
10.66694, 172.186,  23.824, New tracking position
10.68361, 172.442,  23.847, New tracking position
10.70000, 172.693,  23.869, New tracking position
10.71667, 172.950,  23.891, New tracking position
10.73333, 173.206,  23.911, New tracking position
10.75000, 173.463,  23.931, New tracking position
10.76667, 173.719,  -8.000, Hot reference on ground (To)
10.76667, 173.719,  -8.000, New tracking position
10.78361, 173.980,  23.969, Back to the Sun
10.78361, 173.980,  23.969, New tracking position
10.80028, 174.237,  23.987, New tracking position
10.81694, 174.494,  24.003, New tracking position
10.83333, 174.747,  24.019, New tracking position
10.85000, 175.004,  24.035, New tracking position
10.86667, 175.261,  24.049, New tracking position
10.88361, 175.518,  24.063, New tracking position
10.90028, 175.780,  24.076, New tracking position
10.91667, 176.033,  24.088, New tracking position
10.93333, 176.290,  24.099, New tracking position
10.95000, 176.548,  24.110, New tracking position
10.96667, 176.805,  24.120, New tracking position
10.98361, 177.067,  24.129, New tracking position
11.00028, 177.325,  34.137, Cold sky reference deviation in elevation
11.00028, 177.325,  34.137, New tracking position
11.01667, 177.578,  -8.000, Hot reference on ground (To)
11.01667, 177.578,  -8.000, New tracking position
11.03333, 177.836,  24.151, Back to the Sun
11.03333, 177.836,  24.151, New tracking position
11.05000, 178.094,  24.157, New tracking position
11.06667, 178.352,  24.163, New tracking position
11.08361, 178.610,  24.167, New tracking position
11.10028, 178.872,  24.171, New tracking position
11.11667, 179.125,  24.174, New tracking position
11.13333, 179.383,  24.176, New tracking position
11.15000, 179.641,  24.177, New tracking position
11.16694, 179.899,  24.178, New tracking position
11.18361, 180.161,  24.177, New tracking position
11.20028, 180.419,  24.176, New tracking position
11.21667, 180.673,  24.175, New tracking position
11.23333, 180.931,  24.172, New tracking position
11.25000, 181.189,  34.169, Cold sky reference deviation in elevation
11.25000, 181.189,  34.169, New tracking position
11.26667, 181.446,  -8.000, Hot reference on ground (To)
11.26667, 181.446,  -8.000, New tracking position
11.28333, 181.704,  24.160, Back to the Sun
11.28361, 181.704,  24.160, New tracking position
11.30028, 181.966,  24.154, New tracking position
11.31694, 182.224,  24.147, New tracking position
11.33333, 182.478,  24.140, New tracking position
11.35000, 182.735,  24.132, New tracking position
11.36667, 182.993,  24.123, New tracking position
11.38333, 183.250,  24.114, New tracking position
11.40000, 183.508,  24.103, New tracking position
11.41694, 183.770,  24.092, New tracking position
11.43361, 184.027,  24.080, New tracking position
11.45000, 184.280,  24.068, New tracking position
11.46667, 184.537,  24.054, New tracking position
11.48333, 184.795,  24.040, New tracking position
11.50000, 185.052,  34.025, Cold sky reference deviation in elevation
11.50028, 185.052,  34.025, New tracking position
11.51694, 185.313,  -8.000, Hot reference on ground (To)
11.51694, 185.313,  -8.000, New tracking position
11.53333, 185.566,  23.993, Back to the Sun
11.53333, 185.566,  23.993, New tracking position
11.55000, 185.822,  23.976, New tracking position
11.56667, 186.079,  23.957, New tracking position
11.58333, 186.336,  23.939, New tracking position
11.60000, 186.592,  23.919, New tracking position
11.61694, 186.853,  23.898, New tracking position
11.63361, 187.109,  23.877, New tracking position
11.65000, 187.361,  23.856, New tracking position
11.66667, 187.617,  23.833, New tracking position
11.68333, 187.873,  23.809, New tracking position
11.70000, 188.129,  23.785, New tracking position
11.71694, 188.385,  23.760, New tracking position
11.73361, 188.644,  23.734, New tracking position
11.75000, 188.895,  33.708, Cold sky reference deviation in elevation
11.75000, 188.895,  33.708, New tracking position
11.76667, 189.151,  -8.000, Hot reference on ground (To)
11.76667, 189.151,  -8.000, New tracking position
11.78333, 189.406,  23.653, Back to the Sun
11.78333, 189.406,  23.653, New tracking position
11.80028, 189.661,  23.624, New tracking position
11.81694, 189.920,  23.594, New tracking position
11.83361, 190.174,  23.564, New tracking position
11.85000, 190.424,  23.533, New tracking position
11.86667, 190.679,  23.501, New tracking position
11.88333, 190.933,  23.469, New tracking position
11.90000, 191.187,  23.435, New tracking position
11.91667, 191.440,  23.401, New tracking position
11.93361, 191.694,  23.367, New tracking position
11.95028, 191.951,  23.330, New tracking position
11.96694, 192.204,  23.294, New tracking position
11.98333, 192.453,  23.258, New tracking position
12.00000, 192.706,  33.220, Cold sky reference deviation in elevation
12.00000, 192.706,  33.220, New tracking position
12.01667, 192.958, -12.000, Hot reference on ground (To)
12.01667, 192.958, -12.000, New tracking position
12.03333, 193.211,  23.142, Back to the Sun
12.03333, 193.211,  23.142, New tracking position
12.05000, 193.463,  23.102, New tracking position
12.06694, 193.715,  23.061, New tracking position
12.08361, 193.970,  23.019, New tracking position
12.10000, 194.218,  22.978, New tracking position
12.11667, 194.469,  22.935, New tracking position
12.13333, 194.720,  22.891, New tracking position
12.15000, 194.971,  22.847, New tracking position
12.16694, 195.221,  22.801, New tracking position
12.18361, 195.476,  22.755, New tracking position
12.20028, 195.726,  22.708, New tracking position
12.21667, 195.971,  22.662, New tracking position
12.23333, 196.221,  22.613, New tracking position
12.25000, 196.470,  32.565, Cold sky reference deviation in elevation
12.25000, 196.470,  32.565, New tracking position
12.26667, 196.719, -12.000, Hot reference on ground (To)
12.26667, 196.719, -12.000, New tracking position
12.28333, 196.968,  22.465, Back to the Sun
12.28333, 196.968,  22.465, New tracking position
12.30028, 197.216,  22.414, New tracking position
12.56528, 201.134,  21.508, New tracking position
12.59528, 201.572,  21.395, New tracking position
12.60083, 201.653,  21.374, New tracking position
12.60583, 201.726,  21.354, New tracking position
12.61083, 201.799,  21.335, New tracking position
12.61611, 201.876,  21.315, New tracking position
12.62472, 202.001,  21.281, New tracking position
12.62833, 202.054,  21.267, New tracking position
12.64139, 202.244,  21.216, New tracking position
12.68333, 202.853,  21.049, New tracking position
12.70000, 203.094,  20.981, New tracking position
12.71694, 203.339,  20.912, New tracking position
12.73361, 203.580,  20.843, New tracking position
12.75028, 203.820,  30.774, Cold sky reference deviation in elevation
12.75028, 203.820,  30.774, New tracking position
12.76667, 204.056, -12.000, Hot reference on ground (To)
12.76667, 204.056, -12.000, New tracking position
12.78333, 204.296,  20.634, Back to the Sun
12.78333, 204.296,  20.634, New tracking position
12.80000, 204.536,  20.562, New tracking position
12.81694, 204.775,  20.490, New tracking position
12.83361, 205.017,  20.416, New tracking position
12.85028, 205.256,  20.342, New tracking position
12.86667, 205.490,  20.269, New tracking position
12.88333, 205.727,  20.195, New tracking position
12.90000, 205.965,  20.119, New tracking position
12.91694, 206.206,  20.042, New tracking position
12.93361, 206.442,  19.965, New tracking position
12.95000, 206.675,  19.889, New tracking position
12.96667, 206.911,  19.811, New tracking position
12.98333, 207.146,  19.732, New tracking position
13.00028, 207.385,  29.652, Cold sky reference deviation in elevation
13.00028, 207.385,  29.652, New tracking position
13.01667, 207.616, -12.000, Hot reference on ground (To)
13.01667, 207.616, -12.000, New tracking position
13.03333, 207.851,  19.493, Back to the Sun
13.03333, 207.851,  19.493, New tracking position
13.05000, 208.085,  19.412, New tracking position
13.06667, 208.319,  19.330, New tracking position
13.08333, 208.552,  19.248, New tracking position
13.10028, 208.785,  19.165, New tracking position
13.11694, 209.022,  19.080, New tracking position
13.13361, 209.254,  18.995, New tracking position
13.15028, 209.486,  18.910, New tracking position
13.16667, 209.714,  18.826, New tracking position
13.18333, 209.945,  18.740, New tracking position
13.20000, 210.176,  18.654, New tracking position
13.21667, 210.406,  18.567, New tracking position
13.23361, 210.640,  18.477, New tracking position
13.25028, 210.870,  28.389, Cold sky reference deviation in elevation
13.25028, 210.870,  28.389, New tracking position
13.26667, 211.095, -12.000, Hot reference on ground (To)
13.26667, 211.095, -12.000, New tracking position
13.28333, 211.324,  18.212, Back to the Sun
13.28333, 211.324,  18.212, New tracking position
