DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 7.00000, 181.500,  60.300, Reference positions.

 7.01667, 107.698,  13.131, New tracking position
 7.03333, 107.891,  13.295, New tracking position
 7.05000, 108.084,  13.459, New tracking position
 7.06667, 108.277,  13.623, New tracking position
 7.08333, 108.470,  13.787, New tracking position
 7.10000, 108.664,  13.951, New tracking position
 7.11667, 108.858,  14.114, New tracking position
 7.13333, 109.053,  14.278, New tracking position
 7.15000, 109.247,  14.441, New tracking position
 7.16667, 109.442,  14.604, New tracking position
 7.18333, 109.638,  14.767, New tracking position
 7.20000, 109.833,  14.929, New tracking position
 7.21667, 110.029,  15.092, New tracking position
 7.23333, 110.225,  15.254, New tracking position
 7.25000, 110.422,  15.416, New tracking position
 7.26667, 110.619,  15.578, New tracking position
 7.28333, 110.816,  15.740, New tracking position
 7.30000, 111.014,  15.901, New tracking position
 7.31667, 111.212,  16.062, New tracking position
 7.33333, 111.410,  16.223, New tracking position
 7.35000, 111.609,  16.384, New tracking position
 7.36667, 111.808,  16.544, New tracking position
 7.38333, 112.008,  16.705, New tracking position
 7.40000, 112.207,  16.865, New tracking position
 7.41667, 112.408,  17.025, New tracking position
 7.43333, 112.608,  17.184, New tracking position
 7.45000, 112.809,  17.344, New tracking position
 7.46667, 113.010,  17.503, New tracking position
 7.48333, 113.212,  17.662, New tracking position
 7.50000, 113.414,  17.821, New tracking position
 7.51667, 113.617,  17.979, New tracking position
 7.53333, 113.819,  18.138, New tracking position
 7.55000, 114.023,  18.296, New tracking position
 7.56667, 114.226,  18.454, New tracking position
 7.58333, 114.430,  18.611, New tracking position
 7.60000, 114.635,  18.768, New tracking position
 7.61667, 114.840,  18.926, New tracking position
 7.63333, 115.045,  19.082, New tracking position
 7.65000, 115.251,  19.239, New tracking position
 7.66667, 115.457,  19.395, New tracking position
 7.68333, 115.664,  19.551, New tracking position
 7.70000, 115.871,  19.707, New tracking position
 7.71667, 116.078,  19.863, New tracking position
 7.73333, 116.286,  20.018, New tracking position
 7.75000, 116.494,  20.173, New tracking position
 7.76694, 116.703,  20.328, New tracking position
 7.78361, 116.912,  20.482, New tracking position
 7.80028, 117.122,  20.636, New tracking position
 7.81694, 117.332,  20.790, New tracking position
 7.83361, 117.542,  20.943, New tracking position
 7.85028, 117.753,  21.097, New tracking position
 7.86694, 117.965,  21.250, New tracking position
 7.88361, 118.177,  21.402, New tracking position
 7.90028, 118.389,  21.555, New tracking position
 7.91694, 118.606,  21.709, New tracking position
 7.93361, 118.819,  21.861, New tracking position
 7.95028, 119.033,  22.013, New tracking position
 7.96694, 119.247,  22.164, New tracking position
 7.98361, 119.459,  22.312, New tracking position
 8.00028, 119.678,  22.465, New tracking position
 8.01694, 119.890,  22.613, New tracking position
 8.03361, 120.106,  22.763, New tracking position
 8.05028, 120.323,  22.913, New tracking position
 8.06694, 120.540,  23.062, New tracking position
 8.08361, 120.758,  23.211, New tracking position
 8.10028, 120.977,  23.359, New tracking position
 8.11694, 121.199,  23.510, New tracking position
 8.13361, 121.419,  23.658, New tracking position
 8.15028, 121.639,  23.806, New tracking position
 8.16694, 121.859,  23.953, New tracking position
 8.18361, 122.080,  24.100, New tracking position
 8.20028, 122.302,  24.246, New tracking position
 8.21694, 122.524,  24.392, New tracking position
 8.23361, 122.746,  24.538, New tracking position
 8.25028, 122.970,  24.684, New tracking position
 8.26694, 123.193,  24.829, New tracking position
 8.28361, 123.418,  24.973, New tracking position
 8.30028, 123.643,  25.118, New tracking position
 8.31694, 123.868,  25.262, New tracking position
 8.33361, 124.094,  25.405, New tracking position
 8.35028, 124.320,  25.549, New tracking position
 8.36694, 124.548,  25.691, New tracking position
 8.38361, 124.775,  25.834, New tracking position
 8.40000, 125.000,  25.974, New tracking position
 8.41667, 125.228,  26.115, New tracking position
 8.43333, 125.458,  26.256, New tracking position
 8.45000, 125.688,  26.397, New tracking position
 8.46667, 125.918,  26.538, New tracking position
 8.48333, 126.150,  26.678, New tracking position
 8.50000, 126.381,  26.818, New tracking position
 8.51667, 126.614,  26.957, New tracking position
 8.53333, 126.847,  27.096, New tracking position
 8.55000, 127.080,  27.234, New tracking position
 8.56667, 127.315,  27.372, New tracking position
 8.58333, 127.549,  27.510, New tracking position
 8.60000, 127.785,  27.647, New tracking position
