DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 182.400,  60.500, Reference positions.

 7.00010, 145.000,  77.000, New tracking position
 7.01674, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01676, 145.000, -14.000, New tracking position
 7.03341, 102.481,  21.723, Back to the Sun
 7.03343,  79.919, -38.769, Rotor position possibly out of range
 7.03343, 102.481,  21.723, Sun position possibly out of range
 7.05012,  79.724, -38.600, Rotor position possibly out of range
 7.05012, 102.676,  21.892, Sun position possibly out of range
 7.06681,  79.529, -38.431, Rotor position possibly out of range
 7.06681, 102.871,  22.061, Sun position possibly out of range
 7.08347,  79.333, -38.263, Rotor position possibly out of range
 7.08347, 103.067,  22.229, Sun position possibly out of range
 7.10015,  79.136, -38.094, Rotor position possibly out of range
 7.10015, 103.264,  22.398, Sun position possibly out of range
 7.11682,  78.939, -37.926, Rotor position possibly out of range
 7.11682, 103.461,  22.566, Sun position possibly out of range
 7.13351,  78.742, -37.758, Rotor position possibly out of range
 7.13351, 103.658,  22.734, Sun position possibly out of range
 7.15018,  78.545, -37.590, Rotor position possibly out of range
 7.15018, 103.855,  22.902, Sun position possibly out of range
 7.16688,  78.347, -37.422, Rotor position possibly out of range
 7.16688, 104.053,  23.070, Sun position possibly out of range
 7.18355,  78.149, -37.254, Rotor position possibly out of range
 7.18355, 104.251,  23.238, Sun position possibly out of range
 7.20021,  77.950, -37.086, Rotor position possibly out of range
 7.20021, 104.450,  23.406, Sun position possibly out of range
 7.21690,  77.751, -36.919, Rotor position possibly out of range
 7.21690, 104.649,  23.573, Sun position possibly out of range
 7.23358,  77.551, -36.752, Rotor position possibly out of range
 7.23358, 104.849,  23.741, Sun position possibly out of range
 7.25023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25025, 145.000,  77.000, New tracking position
 7.26689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26691, 145.000, -14.000, New tracking position
 7.28357, 105.449,  24.242, Back to the Sun
 7.28359, 105.449,  24.242, New tracking position
 7.30028, 105.651,  24.409, New tracking position
 7.31698, 105.856,  24.578, New tracking position
 7.33365, 106.058,  24.744, New tracking position
 7.35032, 106.260,  24.911, New tracking position
 7.36700, 106.463,  25.077, New tracking position
 7.38341, 106.663,  25.240, New tracking position
 7.40009, 106.867,  25.406, New tracking position
 7.41678, 107.071,  25.571, New tracking position
 7.43346, 107.276,  25.737, New tracking position
 7.45014, 107.481,  25.902, New tracking position
 7.46683, 107.687,  26.067, New tracking position
 7.48352, 107.893,  26.232, New tracking position
 7.50016, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50018, 145.000,  77.000, New tracking position
 7.51683, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51685, 145.000, -14.000, New tracking position
 7.53350, 108.514,  26.725, Back to the Sun
 7.53352, 108.514,  26.725, New tracking position
 7.55019, 108.722,  26.889, New tracking position
 7.56685, 108.931,  27.053, New tracking position
 7.58352, 109.140,  27.217, New tracking position
 7.60018, 109.349,  27.380, New tracking position
 7.61686, 109.560,  27.543, New tracking position
 7.63355, 109.770,  27.706, New tracking position
 7.65022, 109.981,  27.869, New tracking position
 7.66691, 110.193,  28.032, New tracking position
 7.68359, 110.405,  28.194, New tracking position
 7.70025, 110.618,  28.357, New tracking position
 7.71694, 110.832,  28.518, New tracking position
 7.73363, 111.045,  28.680, New tracking position
 7.75028, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75030, 145.000,  77.000, New tracking position
 7.76697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76699, 145.000, -14.000, New tracking position
 7.78365, 111.694,  29.167, Back to the Sun
 7.78367, 111.694,  29.167, New tracking position
 7.80011, 111.907,  29.325, New tracking position
 7.81678, 112.123,  29.485, New tracking position
 7.83346, 112.341,  29.646, New tracking position
 7.85015, 112.559,  29.806, New tracking position
 7.86682, 112.777,  29.966, New tracking position
 7.88349, 112.996,  30.125, New tracking position
